Funct,Pronoun,Ppron,I,We,You,SheHe,They,Ipron,Article,Verbs,AuxVb,Past,Present,Future,Adverbs,Prep,Conj,Negate,Quant,Numbers,Swear,Social,Family,Friends,Humans,Affect,Posemo,Negemo,Anx,Anger,Sad,CogMech,Insight,Cause,Discrep,Tentat,Certain,Inhib,Incl,Excl,Percept,See,Hear,Feel,Bio,Body,Health,Sexual,Ingest,Relativ,Motion,Space,Time,Work,Achiev,Leisure,Home,Money,Relig,Death,Assent,Nonflu,Filler
hasnt,,,,,,,,,,hed,youre,worn,think,,,,,,,,,friend*,,,,critical,freer,fearing,disturb*,resent*,,conclus*,recogni*,,,undetermin*,,,,,rang,,,booz*,insulin,skin,obes*,,appear,order,shake*,placing*,nightly,interview*,ranks,playstation*,,shilling*,sikh*,,,,
hasn't,,,,,,,,,,he'd,you're,wouldve,thinks,,,,,,,,,game*,,,,critici*,frees*,fears,doubt*,revenge*,,confess*,recollect*,,,unknow*,,,,,rectang*,,,bowel*,intestin*,skinni*,OCD,,appeared,origin,shook,platform*,nights,inventory,recover*,poetry,,shop,sin,,,,
have,,,,,,,,,,held,youve,would've,tries,,,,,,,,,gather*,,,,crude*,friend*,feroc*,dread*,ridicul*,,confidence,reconcil*,,,unlikel*,,,,,red,,,brain*,intox*,skull,optometr*,,appearing,out,slid,point,noon*,jd,requir*,poker,,shopaholic*,sinn*,,,,
havent,,,,,,,,,,he'll,you've,written,try,,,,,,,,,gave,,,,cruel*,fun,feud*,dwell*,rude*,,confident,reconsider*,,,unluck*,,,,,redde*,,,bread,itch*,sleep*,orthodon*,,appears,outer*,slide,position*,november,job*,resolv*,pool*,,shopp*,sins,,,,
haven't,,,,,,,,,,helped,,wrote,turn,,,,,,,,,gentlem*,,,,crushed,funn*,fiery,embarrass*,sarcas*,,confidently,reconstruct*,,,unresolv*,,,,,reddish*,,,breakfast*,iv,slender*,orthoped*,,approach*,outside,slides,remote*,now,junior*,resourceful*,pretend*,,shops,soul,,,,
having,,,,,,,,,,helps,,,turns,,,,,,,,,gf*,,,,cry,genero*,fight*,emotional,savage*,,confin*,reevaluat*,,,unsettl*,,,,,redness,,,breast*,jaw*,slept,overweight,,april,outsides,sliding,right,occasional*,keyboard*,responsib*,pub,,sold,souls,,,,
hed,,,,,,,,,,heres,,,understand,,,,,,,,,girl,,,,crying,gentle,fired,fear,sceptic*,,conflict*,refer*,,,unsure*,,,,,reds,,,breath*,jissom,spat,pain,,area*,outward*,step,road*,oclock*,kinderg*,reward*,pubs,,spend,spirit*,,,,
he'd,,,,,,,,,,here's,,,understands,,,,,,,,,girlfriend*,,,,cunt*,gentler,flunk*,feared,screw*,,confus*,reflect*,,,usually,,,,,reek*,,,bronchi*,jizz,spinal,pained,,around,over,stepp*,room,o'clock*,labor*,skill,radio*,,spender,sunni,,,,
her,,,,,,,,,,hes,,,use,,,,,,,,,girl's,,,,cut,gentlest,foe*,fearful*,shit*,,conscious*,relate*,,,vague*,,,,,ring,,,brunch*,joints,spine,painf*,,arrival*,overflow*,steps,roomate*,october,labour*,skilled,rap,,spending,sunnis,,,,
here,,,,,,,,,,he's,,,uses,,,,,,,,,girls*,,,,cute*,gently,fool*,fearing,sinister,,consequen*,relating,,,variab*,,,,,ringing,,,bulimi*,kidney*,spit,paining,,arrive,overlap*,stopper*,roomed,old,laidoff,skills,read ,,spends,temple*,,,,
heres,,,,,,,,,,hit,,,using,,,,,,,,,give,,,,cutie*,giggl*,forbid*,fears,skeptic*,,conserv*,relation,,,varies,,,,,rings,,,burp*,kiss*,spits,painl*,,arrived,pass,swam,roomie*,olden,laptop*,solution*,reading,,spent,testament*,,,,
here's,,,,,,,,,,hope,,,wait,,,,,,,,,giver*,,,,cynic,giver*,fought,frantic*,smother*,,consider,rememb*,,,vary,,,,,rotten,,,butt,kitchen*,spitting,pains,,arrives,passed,swim*,rooming,older,lawyer* ,solve,recording*,,stipend*,theolog*,,,,
hers,,,,,,,,,,hoped,,,waits,,,,,,,,,gives,,,,damag*,giving,frantic*,fright*,snob*,,considered,reorgani*,,,wonder,,,,,rough*,,,butts,knee*,stomach*,pap,,arriving,passes,threw,roommate*,oldest,layoff*,solved,recreation*,,stocks,torah,,,,
herself,,,,,,,,,,hopes,,,want,,,,,,,,,giving,,,,damn*,glad,freak*,guilt*,spite*,,considering,resolu*,,,wondered,,,,,round*,,,butt's,knuckle*,sweat*,paraly*,,at,passing,throw*,rooms,once,lead*,solves,reggae,,store,vatican*,,,,
hes,,,,,,,,,,hows,,,wants,,,,,,,,,gossip*,,,,danger*,gladly,fright*,hesita*,stubborn*,,considers,resolv*,,,wondering,,,,,rub,,,cafeteria*,leg,teeth*,patholog*,,atop,past,took,section,origin,learn*,solving,relax*,,tax,veil*,,,,
he's,,,,,,,,,,how's,,,we're,,,,,,,,,grandchil*,,,,daring,glamor*,frustrat*,horr*,stupid*,,constrain*,restructur*,,,wonders,,,,,rubbed,,,cancer*,legs*,tendon ,pediatr*,,attend,period*,transact*,segment,past,lectur*,strateg*,restau*,,taxa*,worship*,,,,
highly,,,,,,,,,,Id,,,whats,,,,,,,,,granddad*,,,,darlin*,glamour*,fuck,humiliat*,suck,,constrict*,rethink*,,,,,,,,rubbing,,,candie*,lesbian*,tendons,pharmac*,,attended,perpetual*,transport*,separat*,period*,legal*,strength*,resting,,taxed,yiddish,,,,
him,,,,,,,,,,I'd,,,what's,,,,,,,,,granddau*,,,,daze*,glori*,fucked*,impatien*,sucked,,contain*,reveal*,,,,,,,,rubs,,,candy,leuke*,thigh*,phobi*,,attending,place*,travel*,shape*,perpetual*,librar*,striv*,rock,,taxes,zen,,,,
himself,,,,,,,,,,I'll,,,wheres,,,,,,,,,grandf*,,,,dear*,glory,fucker*,inadequa*,sucker*,,contemplat*,revelat*,,,,,,,,saccharine,,,cardia*,libid*,thirst*,physical*,,attends,placing*,trip,shaping*,preced*,lsat,strong*,rocks,,taxing,zion*,,,,
his,,,,,,,,,,Im,,,where's,,,,,,,,,grandkid*,,,,decay*,good,fuckin*,indecis*,sucks,,contingen*,secret,,,,,,,,said,,,cardio*,life,throat*,physician*,,august,platform*,tripped,short*,present,ltd,succeed*,roller*,,thrift*,,,,,
hopefully,,,,,,,,,,i'm,,,whos,,,,,,,,,grandm*,,,,defeat*,goodness,fucks,inhib*,sucky,,contradic*,secrets,,,,,,,,saliv*,,,checkup*,lip,tit,pill,,autumn,point,tripping,shut,presently,mailroom*,success*,rowing,,trade*,,,,,
how,,,,,,,,,,is,,,who's,,,,,,,,,grandpa*,,,,defect*,gorgeous*,fume*,insecur*,tantrum*,,control*,seem,,,,,,,,salt*,,,cheek*,lips*,tits,pills,,away,position*,trips,side,prior,majoring,super,rugby*,,trading,,,,,
however,,,,,,,,,,isnt,,,wish,,,,,,,,,grandson*,,,,defenc*,grace,fuming,irrational*,teas*,,correct*,seemed,,,,,,,,sampl*,,,chest*,liquor*,titties,pimple*,,awhile,post,visit*,sides,proceed*,majors,superb*,rum,,tuition,,,,,
hundred*,,,,,,,,,,isn't,,,wishes,,,,,,,,,granny,,,,defens*,graced,furious*,irrita*,temper,,correlat*,seeming*,,,,,,,,sand,,,chew*,liver*,titty,pms,,back,preced*,walk,siding,quick*,manag*,surviv*,runner*,,underpaid,,,,,
i,,,,,,,,,,itd,,,wonder,,,,,,,,,group*,,,,definite,graceful*,fury,miser*,tempers,,cos,seems,,,,,,,,sands,,,chills,living,toe,podiatr*,,backward*,present,walked,site,recency,manufact*,team*,running,,value,,,,,
Id,,,,,,,,,,it'd,,,youre,,,,,,,,,grownup*,,,,definitely,graces,geek*,nervous*,terrify,,could,sense,,,,,,,,sandy,,,chiropract*,love,toenail*,poison*,,before,presently,walking,sky*,recent*,market*,top,salsa,,visa*,,,,,
I'd,,,,,,,,,,itll,,,you're,,,,,,,,,grudge*,,,,degrad*,graci*,gloom*,neurotic*,threat*,,couldnt,sensed,,,,,,,,sang,,,chlamydia,loved,toes,pregnan*,,began,prior,walks,small*,recur*,masters,tried,sang,,wage,,,,,
if,,,,,,,,,,it'll,,,youve,,,,,,,,,guest*,,,,delectabl*,grand,goddam*,obsess*,ticked,,couldn't,senses,,,,,,,,savor*,,,chok*,lover*,tongue*,prescri*,,begin,proceed*,went,somewhere,repeat*,math*,tries,scrabble,,wager*,,,,,
I'll,,,,,,,,,,it's,,,you've,,,,,,,,,guy*,,,,delicate*,grande*,gossip*,overwhelm*,tortur*,,couldve,sensing,,,,,,,,savour*,,,cholester*,loves,tonsils,prognos*,,beginn*,pull*,,south*,repetit*,mcat,triumph*,scrapbook*,,wages,,,,,
Im,,,,,,,,,,ive,,,,,,,,,,,,he,,,,delicious*,gratef*,grave*,panic*,trick*,,could've,solution*,,,,,,,,saw,,,chow*,lozenge*,tooth*,prozac,,begins,push*,,space,respectively,mda,try,sculpt*,,wealth*,,,,,
I'm,,,,,,,,,,I've,,,,,,,,,,,,hear,,,,deligh*,grati*,greed*,petrif*,ugl*,,coz,solve,,,,,,,,say*,,,chronic*,lump,tricep*,puk*,,begun,put,,spaced,return*,meeting*,trying,shop,,worth,,,,,
immediately,,,,,,,,,,keep,,,,,,,,,,,,heard,,,,depress*,great,grief,phobi*,vicious*,,create*,solved ,,,,,,,,scan,,,cigar*,lunch*,urin*,puss,,behavio*,puts,,spaces,rhythm*,memo,unable,shopaholic*,,yen,,,,,
in,,,,,,,,,,keeps,,,,,,,,,,,,hearing,,,,depriv*,grin,griev*,pressur*,victim*,,creati*,solves,,,,,,,,scann*,,,clinic*,lung*,uter*,queas*,,below,putting,,spaci*,saturday*,memos,unbeat*,shopp*,,yuan,,,,,
infinit*,,,,,,,,,,kept,,,,,,,,,,,,hears,,,,despair*,grinn*,grim*,reluctan*,vile,,curb*,solving,,,,,,,,scans,,,clothes,lust*,vagina*,rehab*,,bend,quick*,,span,schedul*,menial,unproduc*,shops,,,,,,,
inside,,,,,,,,,,knew,,,,,,,,,,,,hed,,,,desperat*,grins,gross*,repress*,villain*,,curio*,statement*,,,,,,,,scent*,,,cock,lymph*,vein*,ritalin,,bending,ran,,spann*,season*,mentor*,unsuccessful*,show,,,,,,,
insides,,,,,,,,,,know,,,,,,,,,,,,he'd,,,,despis*,ha,grouch*,restless*,violat*,,curtail*,suspect*,,,,,,,,scratch*,,,cocks*,makeout*,waist*,rx,,bends,receiv*,,stair*,seconds,merger*,victor*,shows,,,,,,,
instead,,,,,,,,,,knows,,,,,,,,,,,,he'll,,,,destroy*,haha*,grr*,rigid*,violent*,,cuz,suspicio*,,,,,,,,scream*,,,codeine,mammogram,wake,scab*,,beneath,recency,,straight,senior*,mfg,win,sing,,,,,,,
into,,,,,,,,,,let ,,,,,,,,,,,,hello*,,,,destruct*,handsom*,guilt*,risk*,war,,decid*,think,,,,,,,,screen,,,coffee*,manicdep*,wear,schizophren*,,bent,recent*,,street*,september*,mfr,winn*,singing,,,,,,,
is,,,,,,,,,,lets,,,,,,,,,,,,help,,,,determina*,happi*,harass*,scare*,warfare*,,decis*,thinker*,,,,,,,,scrumptious*,,,coke*,meal*,womb*,scrape*,,beside,recur*,,stretch*,sequen*,mgmt,wins,sings,,,,,,,
isnt,,,,,,,,,,let's,,,,,,,,,,,,helper*,,,,determined,happy,harm,scaring,warred,,deduc*,thinking*,,,,,,,,see,,,colon,medic*,wrist*,seizure*,,beyond,remote*,,surfac*,simultaneous*,mgr,won,skat*,,,,,,,
isn't,,,,,,,,,,lied,,,,,,,,,,,,helpful*,,,,devastat*,harmless*,harmed,scary,warring,,defenc*,thinks,,,,,,,,seeing,,,colono*,migrain*,,sick,,biannu*,remov*,,surround*,slow*,midterm*,work ,ski,,,,,,,
it,,,,,,,,,,liked,,,,,,,,,,,,helping,,,,devil*,harmon*,harmful*,shake*,wars,,defens*,thought,,,,,,,,seen,,,colons,milk*,,sickday*,,big,repeat*,,tall,sometime ,motiv*,workabl*,skied,,,,,,,
itd,,,,,,,,,,listen,,,,,,,,,,,,helps,,,,devot*,heartfelt,harming,shaki*,weapon*,,define,thoughts,,,,,,,,seer,,,coma*,miscar*,,sicker,,bigger,repetit*,,taller,sometimes,negotiat*,worked,skier*,,,,,,,
it'd,,,,,,,,,,listened,,,,,,,,,,,,her,,,,difficult*,heartwarm*,harms,shaky,wicked*,,defined,unaccept*,,,,,,,,sees,,,condom,mono,,sickest,,biggest,replace*,,tallest,soon,ngo,worker*,skiing,,,,,,,
item*,,,,,,,,,,listens,,,,,,,,,,,,hers,,,,digni*,heaven*,hate,shame*,,,defines,unaware*,,,,,,,,sharp*,,,condoms,mouth*,,sickleave*,,bimonth*,replacing,,territor*,soone*,nonprofit*,working*,skis,,,,,,,
itll,,,,,,,,,,lived,,,,,,,,,,,,herself,,,,disadvantage*,heh*,hated,shook,,,defining,understand,,,,,,,,shine,,,congest*,mri ,,sickly,,birth*,respectively,,thick*,sped,occupa*,works,soaps,,,,,,,
it'll,,,,,,,,,,look,,,,,,,,,,,,hes,,,,disagree*,helper*,hateful*,shy*,,,definite,understandab*,,,,,,,,shini*,,,constipat*,mucous*,,sickness*,,biweek*,return*,,thin,speed*,office*,,soccer*,,,,,,,
its,,,,,,,,,,looked,,,,,,,,,,,,he's,,,,disappoint*,helpful*,hater*,sicken*,,,definitely,understanding*,,,,,,,,shiny,,,contag*,muscle*,,sinus*,,born,rhythm*,,thinly,spring,org,,solitaire,,,,,,,
it's,,,,,,,,,,looks,,,,,,,,,,,,hey,,,,disaster*,helping,hates,startl*,,,definitive*,understands,,,,,,,,shout*,,,cook*,muscular,,sore*,,both,ridden,,thinn*,start,organiz*,,song*,,,,,,,
itself,,,,,,,,,,lost,,,,,,,,,,,,hi,,,,discomfort*,helps,hating,strain*,,,delay*,understood,,,,,,,,sight*,,,cornea*,myopi*,,std*,,bottom*,ride,,tinier,started,outlin*,,spa,,,,,,,
ive,,,,,,,,,,love,,,,,,,,,,,,him,,,,discourag*,hero*,hatred,stress*,,,denia*,unrelat*,,,,,,,,silen*,,,coronar*,naked,,stiff*,,breadth,rides,,tiniest,starter*,outsourc*,,spas,,,,,,,
I've,,,,,,,,,,loved,,,,,,,,,,,,himself,,,,disgust*,hilarious,heartbreak*,struggl*,,,denie*,wonder,,,,,,,,silk*,,,cough*,nasal,,strept*,,break,riding,,tiny,starting,overpaid,,sport*,,,,,,,
just,,,,,,,,,,loves,,,,,,,,,,,,his,,,,dishearten*,hoho*,heartbroke*,stunned,,,deny*,wondered,,,,,,,,skin,,,cramp*,nause*,,stroke*,,brief*,right,,together,starts,overtime,,standup,,,,,,,
lack*,,,,,,,,,,made,,,,,,,,,,,,honey,,,,disillusion*,honest*,heartless*,stuns,,,depend,wondering,,,,,,,,skin'*,,,crap,nearsighted,,sunburn*,,bring,rise*,,top,startup*,overworked,,stereo,,,,,,,
lately,,,,,,,,,,make,,,,,,,,,,,,hubby,,,,dislike,honor*,hell,suspicio*,,,depended,wonders,,,,,,,,smell*,,,crotch,neck,,surgeon*,,bringing,rising,,toward*,still,paper*,,stereos,,,,,,,
least,,,,,,,,,,makes,,,,,,,,,,,,human*,,,,disliked,honour*,hellish,tense*,,,depending,,,,,,,,,smooth*,,,cuddl*,nerve*,,surger*,,brings,road*,,town,stop,pay*,,stoned,,,,,,,
less,,,,,,,,,,may,,,,,,,,,,,,husband*,,,,dislikes,hope,helpless*,tensing,,,depends,,,,,,,,,sniff*,,,cyst*,neural*,,swelling,,brink,rode,,under,stopped,pc*,,sunbath*,,,,,,,
let,,,,,,,,,,mean,,,,,,,,,,,,individual*,,,,disliking,hoped,hesita*,tension*,,,desir*,,,,,,,,,snort*,,,deaf*,neurolog*,,swollen,,broad*,room,,underneath,stopper*,pen,,swim*,,,,,,,
lets,,,,,,,,,,means,,,,,,,,,,,,infant,,,,dismay*,hopeful,homesick*,terrified,,,determina*,,,,,,,,,soft*,,,decongest*,neuron*,,symptom*,,brought,roomate*,,undersid*,stopping,pencil*,,symphon*,,,,,,,
let's,,,,,,,,,,meant,,,,,,,,,,,,infant's,,,,dissatisf*,hopefully,hopeless*,terrifies,,,determine,,,,,,,,,song*,,,dentist*,nipple*,,syndrome*,,building,roomed,,universe*,stops,pens ,,tanning,,,,,,,
loads,,,,,,,,,,met,,,,,,,,,,,,infants*,,,,distract*,hopefulness,horr*,terrify ,,,determined,,,,,,,,,sound*,,,derma*,nose*,,syphili*,,busy,roomie*,,up,subsequen*,pension*,,team*,,,,,,,
lot,,,,,,,,,,might,,,,,,,,,,,,inform,,,,distraught,hopes,hostil*,terrifying,,,determines,,,,,,,,,sour,,,dessert*,nostril*,,tender*,,came,rooming,,upon,sudden*,phd*,,techno,,,,,,,
lotof,,,,,,,,,,mightve,,,,,,,,,,,,informs,,,,distress*,hoping,humiliat*,terror*,,,determining,,,,,,,,,soure*,,,detox*,nude*,,tendoni*,,capacit*,roommate*,,upper,summer*,photocop*,,television*,,,,,,,
lots,,,,,,,,,,might've,,,,,,,,,,,,insult*,,,,distrust*,hug ,hurt*,timid*,,,difference*,,,,,,,,,souri*,,,diabet*,nudi*,,testosterone*,,car,rooms,,uppermost,sunday*,pledg*,,tennis*,,,,,,,
lotsa,,,,,,,,,,miss,,,,,,,,,,,,interact*,,,,disturb*,hugg*,idiot,trembl*,,,differentiat*,,,,,,,,,sours,,,diagnos*,numb*,,therap*,,carried,run,,upstairs,synch*,police,,tequila,,,,,,,
lotta,,,,,,,,,,missed,,,,,,,,,,,,interrup*,,,,divin*,hugs,ignor*,turmoil,,,directly,,,,,,,,,soury,,,diarr*,nurse*,,thermometer*,,carrier*,runner*,,vast*,tempora*,policy,,theat*,,,,,,,
main,,,,,,,,,,misses,,,,,,,,,,,,interview*,,,,domina*,humor*,immoral*,uncertain*,,,discern*,,,,,,,,,speak,,,dick,nutrition*,,throb*,,carries,running,,verg*,term ,political,,ticket*,,,,,,,
many,,,,,,,,,,moved,,,,,,,,,,,,involv*,,,,doom*,humour*,impatien*,uncomfortabl*,,,disciplin*,,,,,,,,,speaker*,,,dicks,obes*,,thyroid*,,carry ,runs,,vertical*,terminat*,politics,,tivo*,,,,,,,
may,,,,,,,,,,must,,,,,,,,,,,,kid,,,,dork*,hurra*,impersonal,uncontrol*,,,disclo*,,,,,,,,,speaking,,,diet*,OCD,,tingl*,,carrying,rush*,,wall,then,practice,,toy*,,,,,,,
maybe,,,,,,,,,,mustnt,,,,,,,,,,,,kid'*,,,,doubt*,ideal*,impolite*,uneas*,,,discourag*,,,,,,,,,speaks,,,digest*,optometr*,,tire*,,catch,saturday*,,walling,thursday*,prereq*,,travel*,,,,,,,
me,,,,,,,,,,must'nt,,,,,,,,,,,,kidding,,,,dread*,importan*,inadequa*,unsure*,,,discover*,,,,,,,,,speech*,,,dine ,orgasm*,,tiring,,caught,schedul*,,walls,til,presentation*,,triathl*,,,,,,,
might,,,,,,,,,,mustn't,,,,,,,,,,,,kids*,,,,dull*,impress*,indecis*,upset*,,,disorient*,,,,,,,,,spice,,,dined,orgies,,tox*,,cease*,season*,,west*,till,presiden*,,tv*,,,,,,,
mightve,,,,,,,,,,mustve,,,,,,,,,,,,kin,,,,dumb*,improve*,ineffect*,uptight*,,,disregard*,,,,,,,,,spiced,,,diner,orgy,,tumo*,,ceasing,seconds,,where,time*,procrastin*,,unwind*,,,,,,,
might've,,,,,,,,,,must've,,,,,,,,,,,,ladies,,,,dump*,improving,inferior* ,vulnerab*,,,distinct*,,,,,,,,,spices,,,diners,orthodon*,,twitch*,,ceiling*,section,,wheres,timing,produc*,,vacation*,,,,,,,
million*,,,,,,,,,,need,,,,,,,,,,,,lady,,,,dwell*,incentive*,inhib*,worr*,,,distinguish*,,,,,,,,,spicy,,,dines,orthoped*,,tylenol,,center*,segment,,where's,today*,prof,,vcr*,,,,,,,
mine,,,,,,,,,,needed,,,,,,,,,,,,lady's,,,,dynam*,innocen*,insecur*,,,,doubt*,,,,,,,,,spoke*,,,dining,ovar*,,ulcer*,,centre*,send*,,wherever,tomorrow*,profession*,,video*,,,,,,,
more,,,,,,,,,,needs,,,,,,,,,,,,language*,,,,eager*,inspir*,insincer*,,,,dubious*,,,,,,,,,squar*,,,dinner*,overate,,unhealth*,,centur*,senior*,,wide*,tonight*,professor*,,vodka*,,,,,,,
most,,,,,,,,,,ought,,,,,,,,,,,,lets,,,,ease*,intell*,insult*,,,,dunno,,,,,,,,,squeez*,,,,overeat*,,vertigo,,change,sent,,width*,tuesday*,profit*,,volleyb*,,,,,,,
mostly,,,,,,,,,,oughta,,,,,,,,,,,,let's,,,,easie*,interest*,interrup*,,,,duti*,,,,,,,,,stank,,,,overweight,,viagra,,changed,separat*,,within,until,profs,,weekend*,,,,,,,
much,,,,,,,,,,oughtnt,,,,,,,,,,,,letter,,,,easily,invigor*,intimidat*,,,,duty,,,,,,,,,stare*,,,,pain,,vicodin,,changes,september*,,world,updat*,program*,,weightlift*,,,,,,,
mucho,,,,,,,,,,ought'nt,,,,,,,,,,,,listen,,,,easiness,joke*,irrational*,,,,each,,,,,,,,,staring,,,,pained,,vitamin*,,changing,sequen*,,,usual,project ,,weights,,,,,,,
must,,,,,,,,,,oughtn't,,,,,,,,,,,,listened,,,,easing,joking,irrita*,,,,effect*,,,,,,,,,stench*,,,,painf*,,vomit*,,childhood,set,,,usually,projector*,,whiskey*,,,,,,,
mustnt,,,,,,,,,,oughtve,,,,,,,,,,,,listener*,,,,easy*,joll*,isolat*,,,,either,,,,,,,,,stink*,,,,paining,,wart,,christmas*,shake*,,,wednesday*,projects,,whisky*,,,,,,,
must'nt,,,,,,,,,,ought've,,,,,,,,,,,,listening,,,,ecsta*,joy*,jaded,,,,elicit*,,,,,,,,,stroke*,,,,painl*,,warts,,city,shape*,,,week,prom,,wine,,,,,,,
mustn't,,,,,,,,,,owe,,,,,,,,,,,,listens,,,,efficien*,keen*,jealous*,,,,enclos*,,,,,,,,,stroki*,,,,pains,,wash,,climb*,shaping*,,,week'*,promot*,,wines,,,,,,,
mustve,,,,,,,,,,owed,,,,,,,,,,,,love ,,,,egotis*,kidding,jerk,,,,enlighten*,,,,,,,,,stunk,,,,palm,,weak*,,clock*,shook,,,weekend*,psych,,workout*,,,,,,,
must've,,,,,,,,,,owes,,,,,,,,,,,,loved,,,,elegan*,kind,jerked,,,,entire*,,,,,,,,,sugar*,,,,palms,,weary,,close,short*,,,weekl*,psychol*,,xbox*,,,,,,,
my,,,,,,,,,,paid,,,,,,,,,,,,lover*,,,,embarrass*,kindly,jerks,,,,essential,,,,,,,,,sumptuous*,,,,pap,,wheez*,,closed,shut,,,weeks,publish,,yard,,,,,,,
myself,,,,,,,,,,played,,,,,,,,,,,,loves,,,,emotion,kindn*,kill*,,,,evaluat*,,,,,,,,,sunli*,,,,paraly*,,withdrawal,,closely,side,,,when,qualifi*,,yoga,,,,,,,
near,,,,,,,,,,ran,,,,,,,,,,,,loving*,,,,emotion,kiss*,lame*,,,,ever,,,,,,,,,sunshin*,,,,passion*,,wound*,,closer,sides,,,whenever,quiz*,,,,,,,,,
nearly,,,,,,,,,,said,,,,,,,,,,,,ma,,,,emotional,laidback,lazie*,,,,every,,,,,,,,,sweet,,,,pasta*,,xanax,,closes,siding,,,while,read ,,,,,,,,,
neednt,,,,,,,,,,sat,,,,,,,,,,,,ma'am,,,,empt*,laugh*,lazy,,,,everybod*,,,,,,,,,sweetness,,,,patholog*,,xray*,,closest,simultaneous*,,,whilst,recruit*,,,,,,,,,
need'nt,,,,,,,,,,saw,,,,,,,,,,,,mail,,,,encourag*,libert*,liabilit*,,,,everything*,,,,,,,,,sweets,,,,pediatr*,,yawn*,,closing,sit,,,winter*,register*,,,,,,,,,
needn't,,,,,,,,,,see,,,,,,,,,,,,mailed,,,,enemie*,like,liar*,,,,evident*,,,,,,,,,tang,,,,pee,,zit,,come,site,,,year ,registra*,,,,,,,,,
negat*,,,,,,,,,,seem,,,,,,,,,,,,mailer*,,,,enemy*,likeab*,lied,,,,exact*,,,,,,,,,tangy,,,,pelvi*,,zits,,comes,sitting,,,yearly,report*,,,,,,,,,
neither,,,,,,,,,,seemed,,,,,,,,,,,,mailing,,,,energ*,liked,lies,,,,examin*,,,,,,,,,tart,,,,penis*,,zoloft,,coming,sky*,,,years,requir*,,,,,,,,,
never,,,,,,,,,,seems,,,,,,,,,,,,mails,,,,engag*,likes,lone*,,,,except,,,,,,,,,tast*,,,,perspir*,,,,common,slid,,,yesterday*,research*,,,,,,,,,
nine*,,,,,,,,,,seen,,,,,,,,,,,,male,,,,enjoy*,liking,longing*,,,,exclu*,,,,,,,,,thick*,,,,perver*,,,,connection*,slide,,,yet,resource,,,,,,,,,
no,,,,,,,,,,sees,,,,,,,,,,,,males,,,,enrag*,livel*,lose,,,,expect*,,,,,,,,,thin,,,,pharmac*,,,,constant ,slides,,,young*,resources,,,,,,,,,
nobod*,,,,,,,,,,sensed,,,,,,,,,,,,male's,,,,entertain*,LMAO,loser*,,,,experiment,,,,,,,,,thinn*,,,,phobi*,,,,constantly,sliding,,,youth*,resourcing,,,,,,,,,
none,,,,,,,,,,sent,,,,,,,,,,,,mam,,,,enthus*,LOL,loses,,,,explain,,,,,,,,,thunder*,,,,physical*,,,,continu*,slow*,,,,responsib*,,,,,,,,,
nope,,,,,,,,,,shall,,,,,,,,,,,,man,,,,envie*,love,losing,,,,explained,,,,,,,,,tight*,,,,physician*,,,,corner,small*,,,,resume,,,,,,,,,
nor,,,,,,,,,,shant,,,,,,,,,,,,man's,,,,envious,loved,loss*,,,,explaining,,,,,,,,,tongue*,,,,pill,,,,corners,sometime ,,,,retire*,,,,,,,,,
not,,,,,,,,,,shan't,,,,,,,,,,,,marriag*,,,,envy*,lovely,lost,,,,explains,,,,,,,,,touch*,,,,pills,,,,countr*,sometimes,,,,retiring,,,,,,,,,
nothing,,,,,,,,,,shared,,,,,,,,,,,,marrie*,,,,evil*,lover*,lous*,,,,explanat*,,,,,,,,,triang*,,,,pimple*,,,,coverage,somewhere,,,,review*,,,,,,,,,
now,,,,,,,,,,she'd,,,,,,,,,,,,ma's,,,,excel*,loves,low*,,,,explicit*,,,,,,,,,unsavo*,,,,piss*,,,,cross*,soon,,,,rhetor*,,,,,,,,,
nowhere,,,,,,,,,,she'll,,,,,,,,,,,,mate,,,,excit*,loving*,luckless*,,,,explor*,,,,,,,,,view,,,,pizza*,,,,cruis*,soone*,,,,salar*,,,,,,,,,
of,,,,,,,,,,shes,,,,,,,,,,,,mates,,,,excruciat*,loyal*,ludicrous*,,,,extremely,,,,,,,,,viewer*,,,,pms,,,,current*,south*,,,,scholar,,,,,,,,,
off,,,,,,,,,,she's,,,,,,,,,,,,mate's,,,,exhaust*,luck,lying,,,,fact,,,,,,,,,viewing*,,,,podiatr*,,,,cycle*,space,,,,scholaring,,,,,,,,,
often,,,,,,,,,,should,,,,,,,,,,,,mating,,,,fab,lucked,mad,,,,facts,,,,,,,,,views,,,,poison*,,,,dail*,spaced,,,,scholarly,,,,,,,,,
on,,,,,,,,,,shouldnt,,,,,,,,,,,,meet,,,,fabulous*,lucki*,maddening,,,,factual*,,,,,,,,,vivid*,,,,poop*,,,,danc*,spaces,,,,scholars,,,,,,,,,
once,,,,,,,,,,should'nt,,,,,,,,,,,,meeting*,,,,fail*,lucks,madder,,,,fairly,,,,,,,,,voic*,,,,porn*,,,,date*,spaci*,,,,scholarship*,,,,,,,,,
one,,,,,,,,,,shouldn't,,,,,,,,,,,,meets,,,,faith*,lucky,maddest,,,,feel,,,,,,,,,waft*,,,,pregnan*,,,,day*,span,,,,scholastic*,,,,,,,,,
ones ,,,,,,,,,,shouldve,,,,,,,,,,,,members,,,,fake,madly,maniac*,,,,feeling*,,,,,,,,,warm*,,,,prescri*,,,,decade*,spann*,,,,school*,,,,,,,,,
