Funct,Pronoun,Ppron,I,We,You,SheHe,They,Ipron,Article,Verbs,AuxVb,Past,Present,Future,Adverbs,Prep,Conj,Negate,Quant,Numbers,Swear,Social,Family,Friends,Humans,Affect,Posemo,Negemo,Anx,Anger,Sad,CogMech,Insight,Cause,Discrep,Tentat,Certain,Inhib,Incl,Excl,Percept,See,Hear,Feel,Bio,Body,Health,Sexual,Ingest,Relativ,Motion,Space,Time,Work,Achiev,Leisure,Home,Money,Relig,Death,Assent,Nonflu,Filler
another,it,my,,,,,,that,,became,did,depended,can,ought've,here,despite,until,isn't,equal*,tenth,dumb*,aunt*,grandm*,lover*,girls*,agony,appreciat*,apprehens*,stuns,brutal*,disillusion*,affects,belief*,conclud*,must,betting,confidently,ceasing,,,chocolate*,gray*,noise,grip,eating,blood,bipolar,erection*,cigar*,hurrie*,brought,biggest,autumn,blackboard*,burnout*,birdie*,curtain*,borrow*,christian*,drown*,uhuh,,
any,itd,myself,,,,,,thatd,,become,didnt,described,cannot,shall,heres,down,when,mustnt,etc,third,dyke*,babe*,grandpa*,mate,grownup*,agree,assur*,argh*,stupid*,cheat*,dissatisf*,afterthought*,believe,consequen*,mustnt,blur*,correct*,compulsiv*,,,choir*,green*,noises,gripp*,eats,bloody,bleed*,erotic*,cocktail*,hurry*,came,both,awhile,bldg*,capab*,blackjack,den,bought,christmas*,dying,yah,,
anybod*,it'd,oneself,,,,,,that'd,,becomes,didn't,did,cant,she'll,here's,during,whenever,must'nt,every,thirt*,fuck,babies,grandson*,mates,guy*,agreeab*,attachment*,argu*,stutter*,confront*,doom*,aggravat*,believed,control*,must'nt,borderline*,defined,confin*,,,circle,grey*,noisy,grips,egg*,bodi*,blind*,foreplay,coffee*,immediate,car,bottom*,back,book*,celebrat*,blockbuster*,dishwasher*,broker*,church*,embalm*,yay,,
anymore,itll,our,,,,,,thatll,,becoming,do,didnt,can't,should,hopefully,except,whereas,mustn't,example*,thousand*,fucked*,baby*,granny,mate's,human*,agreed,attract*,arrogan*,submissive*,contempt*,dull*,all,believes,cos,mustn't,chance,definite,conflict*,,,citrus*,image*,quiet*,hair*,elbow*,body*,bronchi*,fuck,coke*,immediately,carried,breadth,before,boss*,challeng*,blog*,doghouse*,buck,clergy,epidemic*,yea,,
anyone*,it'll,ours,,,,,,that'll,,been,does,didn't,care,shouldnt,how,for,whether,neednt,extent,three,fucker*,bambino*,hubby,neighbor*,individual*,agreeing,award*,asham*,suck,contradic*,empt*,allot,believing,coz,mustve,confus*,definitely,conserv*,,,click*,lit,rang,hand,emphysem*,bone,bulimi*,fucked*,cook*,immediateness,carrier*,brink,began,broker*,champ*,book*,domestic*,bucks,confess*,execution*,yeah,,
anything,its,ourselves,,,,,,thats,,began,doesnt,died,cares,should'nt,however,from,while,need'nt,extra,trillion*,fuckin*,band,husband*,neighbour*,infant,agreement*,awesome,assault*,sucked,crap,fail*,allow*,categor*,create*,must've,contingen*,definitive*,constrain*,,,cold*,look,ring,handful*,enema*,bones,burp*,fucker*,dessert*,immortal*,carries,broad*,begin,bureau*,climb*,caf_*,door*,budget*,convent,exterminat*,yep*,,
anyway*,it's,she,,,,,,that's,,begin,doesn't,disliked,carries,shouldn't,immediately,in,,needn't,extremely,twel*,fucks,bands,kin,pal,infant's,agrees,beaut*,asshole*,sucker*,crappy,fatigu*,almost,choice*,creati*,need,depend,directly,constrict*,,,cologne*,looked,ringing,hands,erectile,bony,cancer*,fuckin*,diet*,in,carry ,capacit*,beginn*,burnout*,closure,camping,dorm*,business*,convents,fatal*,yes,,
anywhere,itself,she'd,,,,,,these,,begins,doing,done,carry,shouldve,instead,inside,,negat*,fairly,twent*,goddam*,bf*,ma,pals,infants*,alarm*,beloved,attack*,sucks,critical,flunk*,along,choos*,cuz,needed,depended,distinct*,contain*,,,color*,looker*,rings,hard,erection*,boob*,cardia*,fucks,digest*,inch*,carrying,ceiling*,begins,business*,compet*,cards,drape*,buy*,crucifi*,funer*,yup,,
apparently,ive,she'll,,,,,,thing*,,being,done,drank,come,should've,just,insides,,neither,few*,twice,heck,blam*,marrie*,partner*,kid,alone,benefic*,aversi*,sucky,critici*,gloom*,alot,clarif*,deduc*,needing,depending,entire*,contradic*,,,colour*,looking,said,harde*,erotic*,bowel*,cardio*,gay,dine,inciden*,catch,center*,begun,busy,conclud*,casino*,dresser*,cash*,crusade*,genocid*,,,
are,I've,shes,,,,,,this,,believe,dont,driven,comes,thatll,lately,into,,never,form,two,hell,boy,ma's,roomate*,kid'*,alright*,benefit,avoid*,suffer,crude*,grave*,altogether,closure,depend,neednt,depends,essential,control*,,,column*,looks,sang,heavie*,espresso*,brain*,checkup*,gays,dined,increas*,caught,centre*,biannu*,cafeteria*,conclus*,casual,driveway*,casino*,demon*,ghost*,,,
